epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,1719.16,0.0979,0.17251,0.76303,0.98725,0.9875,0.99464,0.74187,0.97028,0.52184,0.94085,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1736.27,0.09884,0.17311,0.76311,0.98739,0.9875,0.9947,0.73888,0.97096,0.52019,0.94113,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1757.69,0.09655,0.17118,0.76319,0.98732,0.9875,0.9947,0.73997,0.97279,0.52266,0.94106,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1775.16,0.09597,0.17141,0.76299,0.9871,0.9875,0.9947,0.73988,0.96956,0.52135,0.93997,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,1796.52,0.09999,0.17202,0.76315,0.98691,0.9875,0.9947,0.74192,0.96828,0.52525,0.93927,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,1813.25,0.09859,0.17014,0.76297,0.98682,0.9875,0.9947,0.74039,0.96926,0.5219,0.93912,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,1834.83,0.09376,0.16754,0.76292,0.9867,0.9875,0.9947,0.74199,0.96718,0.52232,0.93886,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,1851.82,0.09245,0.16734,0.76279,0.98684,0.9875,0.9947,0.74061,0.96729,0.52347,0.93885,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,1873.13,0.08871,0.166,0.76258,0.98678,0.9875,0.9947,0.73973,0.96764,0.52544,0.939,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,1889.85,0.08593,0.16369,0.76263,0.98684,0.9875,0.9947,0.73901,0.96771,0.52528,0.93928,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,1911.08,0.08823,0.16367,0.76263,0.98686,0.9875,0.9947,0.73821,0.96805,0.52663,0.93936,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,1927.69,0.09023,0.16527,0.76272,0.98689,0.9875,0.9947,0.73828,0.96767,0.52659,0.93932,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,1948.96,0.08583,0.16276,0.76264,0.98693,0.9875,0.9947,0.73944,0.96791,0.52783,0.93951,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
